cluster_id	representative	plddt_mean	length	n_members	mmseqs_rep	selected_by	members
CLS000001	A0A060XQP6	52.35	628	1	A0A060XQP6	plddt_then_length	A0A060XQP6
CLS000002	A0A069CUU9	54.78	1336	1	A0A069CUU9	plddt_then_length	A0A069CUU9
CLS000003	A0A084AFG9	64.13	712	1	A0A084AFG9	plddt_then_length	A0A084AFG9
CLS000004	A0A096LP49	44.16	1063	1	A0A096LP49	plddt_then_length	A0A096LP49
CLS000005	A0A098DT87	64.94	646	1	A0A098DT87	plddt_then_length	A0A098DT87
CLS000006	A0A0C5URS1	93.62	1131	1	A0A0C5URS1	plddt_then_length	A0A0C5URS1
CLS000007	A0A0D1CRD0	92.05	550	1	A0A0D1CRD0	plddt_then_length	A0A0D1CRD0
CLS000008	A0A0D1DZV5	81.31	615	2	A0A0D1DZV5	plddt_then_length	A0A0D1DZV5;M9MH90
CLS000009	A0A0D4BSN8	79.54	570	1	A0A0D4BSN8	plddt_then_length	A0A0D4BSN8
CLS000010	A0A0H2URD6	94.29	538	1	A0A0H2URD6	plddt_then_length	A0A0H2URD6
CLS000011	Q6GCI9	71.30	1009	9	A0A0H2XFP1	plddt_then_length	A0A0H2XFP1;P0C049;Q2G188;Q5HJ90;Q6GCI9;Q6GK28;Q7A7S3;Q8NYF5;Q99WU3
CLS000012	A0A0H5SJ89	81.52	1285	1	A0A0H5SJ89	plddt_then_length	A0A0H5SJ89
CLS000013	A0A0M4LAF6	67.07	558	1	A0A0M4LAF6	plddt_then_length	A0A0M4LAF6
CLS000014	A0A0N6WJC7	70.42	764	1	A0A0N6WJC7	plddt_then_length	A0A0N6WJC7
CLS000015	A0A120KVR5	73.70	1642	1	A0A120KVR5	plddt_then_length	A0A120KVR5
CLS000016	A0A120KVR8	62.01	1728	1	A0A120KVR8	plddt_then_length	A0A120KVR8
CLS000017	A0A120KVW2	62.75	1136	1	A0A120KVW2	plddt_then_length	A0A120KVW2
CLS000018	A0A142C7A3	65.56	815	1	A0A142C7A3	plddt_then_length	A0A142C7A3
CLS000019	A0A166B1A6	67.56	1119	1	A0A166B1A6	plddt_then_length	A0A166B1A6
CLS000020	A0A179H0U5	60.92	552	1	A0A179H0U5	plddt_then_length	A0A179H0U5
CLS000021	A0A1B0GTH6	45.02	734	1	A0A1B0GTH6	plddt_then_length	A0A1B0GTH6
CLS000022	A0A1B0GUW6	39.06	1196	1	A0A1B0GUW6	plddt_then_length	A0A1B0GUW6
CLS000023	A0A1C3NSL9	58.00	1644	1	A0A1C3NSL9	plddt_then_length	A0A1C3NSL9
CLS000024	A0A1U8QHE3	84.08	979	1	A0A1U8QHE3	plddt_then_length	A0A1U8QHE3
CLS000025	A0A1Z2R986	77.37	559	1	A0A1Z2R986	plddt_then_length	A0A1Z2R986
CLS000026	A0A2I0BUK1	44.79	893	1	A0A2I0BUK1	plddt_then_length	A0A2I0BUK1
CLS000027	A0A2K3D5Z7	39.81	532	1	A0A2K3D5Z7	plddt_then_length	A0A2K3D5Z7
CLS000028	A0A2K3DDJ2	49.51	819	1	A0A2K3DDJ2	plddt_then_length	A0A2K3DDJ2
CLS000029	A0A2L0VXR0	88.71	959	1	A0A2L0VXR0	plddt_then_length	A0A2L0VXR0
CLS000030	A0A2Z5TJB0	70.16	515	1	A0A2Z5TJB0	plddt_then_length	A0A2Z5TJB0
CLS000031	A0A2Z5U1Z1	76.86	598	1	A0A2Z5U1Z1	plddt_then_length	A0A2Z5U1Z1
CLS000032	A0A348AXX6	69.25	996	1	A0A348AXX6	plddt_then_length	A0A348AXX6
