uniprot	cluster_id	representative
A0A060XQP6	CLS000001	A0A060XQP6
A0A069CUU9	CLS000002	A0A069CUU9
A0A084AFG9	CLS000003	A0A084AFG9
A0A096LP49	CLS000004	A0A096LP49
A0A098DT87	CLS000005	A0A098DT87
A0A0C5URS1	CLS000006	A0A0C5URS1
A0A0D1CRD0	CLS000007	A0A0D1CRD0
A0A0D1DZV5	CLS000008	A0A0D1DZV5
M9MH90	CLS000008	A0A0D1DZV5
A0A0D4BSN8	CLS000009	A0A0D4BSN8
A0A0H2URD6	CLS000010	A0A0H2URD6
A0A0H2XFP1	CLS000011	Q6GCI9
P0C049	CLS000011	Q6GCI9
Q2G188	CLS000011	Q6GCI9
Q5HJ90	CLS000011	Q6GCI9
Q6GCI9	CLS000011	Q6GCI9
Q6GK28	CLS000011	Q6GCI9
Q7A7S3	CLS000011	Q6GCI9
Q8NYF5	CLS000011	Q6GCI9
Q99WU3	CLS000011	Q6GCI9
A0A0H5SJ89	CLS000012	A0A0H5SJ89
A0A0M4LAF6	CLS000013	A0A0M4LAF6
A0A0N6WJC7	CLS000014	A0A0N6WJC7
A0A120KVR5	CLS000015	A0A120KVR5
A0A120KVR8	CLS000016	A0A120KVR8
A0A120KVW2	CLS000017	A0A120KVW2
A0A142C7A3	CLS000018	A0A142C7A3
A0A166B1A6	CLS000019	A0A166B1A6
A0A179H0U5	CLS000020	A0A179H0U5
A0A1B0GTH6	CLS000021	A0A1B0GTH6
A0A1B0GUW6	CLS000022	A0A1B0GUW6
A0A1C3NSL9	CLS000023	A0A1C3NSL9
A0A1U8QHE3	CLS000024	A0A1U8QHE3
A0A1Z2R986	CLS000025	A0A1Z2R986
A0A2I0BUK1	CLS000026	A0A2I0BUK1
A0A2K3D5Z7	CLS000027	A0A2K3D5Z7
A0A2K3DDJ2	CLS000028	A0A2K3DDJ2
A0A2L0VXR0	CLS000029	A0A2L0VXR0
A0A2Z5TJB0	CLS000030	A0A2Z5TJB0
A0A2Z5U1Z1	CLS000031	A0A2Z5U1Z1
A0A348AXX6	CLS000032	A0A348AXX6
A0A447CCJ8	CLS000033	A0A447CCJ8
A0A516F183	CLS000033	A0A447CCJ8
A0A509AKI1	CLS000034	A0A509AKI1
A0A516F180	CLS000035	A0A516F180
B2AFA8	CLS000035	A0A516F180
A0A6C7EEG6	CLS000036	A0A6C7EEG6
A0JNH1	CLS000037	Q2M2Z5
Q2M2Z5	CLS000037	Q2M2Z5
Q3UXL4	CLS000037	Q2M2Z5
A0JP43	CLS000038	A4FU69
A4FU69	CLS000038	A4FU69
A0MZ66	CLS000039	A0MZ66
A0MZ67	CLS000039	A0MZ66
Q8K2Q9	CLS000039	A0MZ66
A0PGB2	CLS000040	A0PGB2
A0QWZ7	CLS000041	A0QWZ7
O53150	CLS000041	A0QWZ7
A1A5D9	CLS000042	A1A5D9
A1C7B5	CLS000043	A1C7B5
A1CAI0	CLS000044	Q5B430
A1DEV5	CLS000044	Q5B430
B0Y429	CLS000044	Q5B430
B8NTP7	CLS000044	Q5B430
Q0CI96	CLS000044	Q5B430
Q2U492	CLS000044	Q5B430
Q4WUK5	CLS000044	Q5B430
Q5B430	CLS000044	Q5B430
A1CLY6	CLS000045	A1CLY6
A1CIK0	CLS000046	Q0CT23
A1CW63	CLS000046	Q0CT23
A2Q9L8	CLS000046	Q0CT23
B0Y4N5	CLS000046	Q0CT23
Q0CT23	CLS000046	Q0CT23
Q2UUI0	CLS000046	Q0CT23
Q4WQG9	CLS000046	Q0CT23
Q876Q0	CLS000046	Q0CT23
A1DIN7	CLS000047	A1DIN7
A1EGX6	CLS000048	A1EGX6
A1L2H3	CLS000049	A1L2H3
A1Z7Z9	CLS000050	A1Z7Z9
A1ZBW7	CLS000051	A1ZBW7
A2AEY4	CLS000052	A2AEY4
A2AJA9	CLS000053	A2AJA9
C9J069	CLS000053	A2AJA9
A2AKY4	CLS000054	A2AKY4
Q7Z570	CLS000054	A2AKY4
A2QBQ3	CLS000055	Q2UIE6
B8N7S7	CLS000055	Q2UIE6
Q2UIE6	CLS000055	Q2UIE6
Q5BAP5	CLS000055	Q2UIE6
A2QN74	CLS000056	A2QN74
A2RTY3	CLS000057	A2RTY3
Q4R744	CLS000057	A2RTY3
A2VD12	CLS000058	Q3TVI8
Q3TVI8	CLS000058	Q3TVI8
A2VD23	CLS000059	A2VD23
A2VE23	CLS000060	A2VE23
A3CEM4	CLS000061	A3CEM4
A3GEW8	CLS000062	A3GEW8
A3LNK7	CLS000063	A3LNK7
A4D1E1	CLS000064	A4D1E1
A4FV57	CLS000065	Q6ZN18
Q6ZN18	CLS000065	Q6ZN18
A4IFI1	CLS000066	A4IFI1
Q569K6	CLS000066	A4IFI1
Q5SPX1	CLS000066	A4IFI1
A4RGE6	CLS000067	A4RGE6
Q0UJC3	CLS000067	A4RGE6
A4YHQ8	CLS000068	A4YHQ8
A5D8S0	CLS000069	A5D8S0
A5D8V7	CLS000070	A5D8V7
A7MBH5	CLS000070	A5D8V7
A3LQ52	CLS000071	Q6BML3
A5DDF2	CLS000071	Q6BML3
Q6BML3	CLS000071	Q6BML3
A5DDR3	CLS000072	A5DDR3
A5DG41	CLS000073	A5DG41
Q6BMT2	CLS000073	A5DG41
A5DJ60	CLS000074	A5DJ60
A3LPR4	CLS000075	A3LPR4
A5DSU5	CLS000075	A3LPR4
Q5AQ62	CLS000075	A3LPR4
Q6BWJ5	CLS000075	A3LPR4
A5DU71	CLS000076	A5DU71
A3GFQ7	CLS000077	A3GFQ7
A5DUL5	CLS000077	A3GFQ7
B9W824	CLS000077	A3GFQ7
C4YE34	CLS000077	A3GFQ7
Q59MC8	CLS000077	A3GFQ7
A5DXC3	CLS000078	A5DXC3
A5E057	CLS000079	A5E057
A5E771	CLS000080	A5E771
A6H5Y1	CLS000081	A6H5Y1
Q99550	CLS000081	A6H5Y1
A6QLY7	CLS000082	A6QLY7
Q96AQ6	CLS000082	A6QLY7
A6REV3	CLS000083	A6REV3
A6RHW0	CLS000084	A6RHW0
A7EHE5	CLS000084	A6RHW0
A6S9V4	CLS000085	A7EDF3
A7EDF3	CLS000085	A7EDF3
A6SEV8	CLS000086	A7F9L8
A7F9L8	CLS000086	A7F9L8
A6X3G3	CLS000087	A6X3G3
A6ZSM1	CLS000088	C5DZX2
B3LS90	CLS000088	C5DZX2
B5VJQ0	CLS000088	C5DZX2
C5DZX2	CLS000088	C5DZX2
C7GIQ7	CLS000088	C5DZX2
C8ZA35	CLS000088	C5DZX2
P38738	CLS000088	C5DZX2
Q6FV93	CLS000088	C5DZX2
A6ZTW2	CLS000089	B3LHS1
B3LHS1	CLS000089	B3LHS1
C7GNX5	CLS000089	B3LHS1
C8Z826	CLS000089	B3LHS1
P53075	CLS000089	B3LHS1
A6ZVD0	CLS000090	A6ZVD0
B3LTZ3	CLS000090	A6ZVD0
B5VKG3	CLS000090	A6ZVD0
C7GUR3	CLS000090	A6ZVD0
C8ZAW6	CLS000090	A6ZVD0
P40458	CLS000090	A6ZVD0
A6ZW95	CLS000091	B5VT12
B3LKR9	CLS000091	B5VT12
B5VT12	CLS000091	B5VT12
C7GJB0	CLS000091	B5VT12
C8ZIM0	CLS000091	B5VT12
Q99299	CLS000091	B5VT12
A6ZXT5	CLS000092	A6ZXT5
Q12459	CLS000092	A6ZXT5
A6ZYV0	CLS000093	P50273
B5VGN1	CLS000093	P50273
C8Z5R1	CLS000093	P50273
P50273	CLS000093	P50273
A6ZZ54	CLS000094	B5VGZ3
B3LFK1	CLS000094	B5VGZ3
B5VGZ3	CLS000094	B5VGZ3
Q00947	CLS000094	B5VGZ3
A6ZZX0	CLS000095	B3LR89
B3LR89	CLS000095	B3LR89
B5VMF4	CLS000095	B3LR89
Q02203	CLS000095	B3LR89
A7A1R7	CLS000096	P18634
B3RHQ7	CLS000096	P18634
B5VNS9	CLS000096	P18634
C7GXJ6	CLS000096	P18634
C8ZE01	CLS000096	P18634
P18634	CLS000096	P18634
A7F9K1	CLS000097	A7F9K1
A7MBM2	CLS000098	A7MBM2
Q6R5J1	CLS000098	A7MBM2
Q6R5J2	CLS000098	A7MBM2
A7THU3	CLS000099	A7THU3
A7TKN1	CLS000100	A7TKN1
A7TM88	CLS000101	A7TM88
A7TPF8	CLS000102	A7TPF8
A7TQC5	CLS000103	A7TQC5
A7TQS2	CLS000104	A7TQS2
A7TR87	CLS000105	A7TR87
A6ZR36	CLS000106	C5DBS6
A7TRX9	CLS000106	C5DBS6
B3LRJ8	CLS000106	C5DBS6
C5DBS6	CLS000106	C5DBS6
C7GRR3	CLS000106	C5DBS6
C8Z792	CLS000106	C5DBS6
P40053	CLS000106	C5DBS6
Q6CU52	CLS000106	C5DBS6
Q6FPJ5	CLS000106	C5DBS6
A7TRZ7	CLS000107	A7TRZ7
A8IQT2	CLS000108	A8IQT2
A8IRK7	CLS000109	A8IRK7
A8ITB0	CLS000110	A8ITB0
A8ITV9	CLS000111	A8ITV9
A8IUG5	CLS000112	A8IUG5
A8JID5	CLS000113	A8JID5
A8K8P3	CLS000114	Q3UZY0
A9CB34	CLS000114	Q3UZY0
B0KWR6	CLS000114	Q3UZY0
Q3UZY0	CLS000114	Q3UZY0
A8MQN2	CLS000115	A8MQN2
A8MQR0	CLS000116	A8MQR0
A8NYS9	CLS000117	A8NYS9
A8WL28	CLS000118	A8WL28
A8X633	CLS000119	A8X633
Q21227	CLS000119	A8X633
A8XBZ8	CLS000120	A8XBZ8
Q18825	CLS000120	A8XBZ8
A7TUE1	CLS000121	A9XMT3
A9XMT3	CLS000121	A9XMT3
A9XMT4	CLS000121	A9XMT3
A9ZLL8	CLS000122	A9ZLL8
A9ZSY0	CLS000123	A9ZSY0
A8N5E6	CLS000124	B0D0P0
B0D0P0	CLS000124	B0D0P0
B0R9X9	CLS000125	Q9HHM7
O07116	CLS000125	Q9HHM7
Q9HHM7	CLS000125	Q9HHM7
B0WH58	CLS000126	B0WH58
Q16YE7	CLS000126	B0WH58
B1B0V2	CLS000127	B1B0V2
B1GT61	CLS000128	B1GT61
B0BM16	CLS000129	B1H1S4
B1H1S4	CLS000129	B1H1S4
B2AA87	CLS000130	B2AA87
B2DBF0	CLS000131	B2DBF0
B2DBF1	CLS000132	B2DBF1
B2RUR4	CLS000133	Q7TQM5
Q7TQM5	CLS000133	Q7TQM5
B3A0P1	CLS000134	B3A0P1
B3A0R6	CLS000135	B3A0R6
A5GFT6	CLS000136	A5GFT6
B3DJM5	CLS000136	A5GFT6
Q2HNT1	CLS000136	A5GFT6
Q2HNT2	CLS000136	A5GFT6
Q5DTH5	CLS000136	A5GFT6
Q68FE9	CLS000136	A5GFT6
Q6ZSZ6	CLS000136	A5GFT6
Q9NRE2	CLS000136	A5GFT6
B3FWS0	CLS000137	B3FWS0
B3H4K7	CLS000138	B3H4K7
B3KS81	CLS000139	B3KS81
B4IH30	CLS000140	B4IH30
B4QC10	CLS000140	B4IH30
Q9W157	CLS000140	B4IH30
B3NY01	CLS000141	B4Q0P5
B3NY06	CLS000141	B4Q0P5
B3NY08	CLS000141	B4Q0P5
B4IL68	CLS000141	B4Q0P5
B4NU50	CLS000141	B4Q0P5
B4Q0P1	CLS000141	B4Q0P5
B4Q0P5	CLS000141	B4Q0P5
B4R694	CLS000141	B4Q0P5
Q9W3L5	CLS000141	B4Q0P5
Q9W3M2	CLS000141	B4Q0P5
B3NP26	CLS000142	B4QIJ9
B4HMH2	CLS000142	B4QIJ9
B4P8I0	CLS000142	B4QIJ9
B4QIJ9	CLS000142	B4QIJ9
Q7K4M4	CLS000142	B4QIJ9
B6JUP5	CLS000143	B6JUP5
B6KJ32	CLS000144	B6KJ32
B6KLP1	CLS000145	B6KLP1
B6KV60	CLS000146	B6KV60
B6Q2V1	CLS000147	B6Q2V1
B8MPW2	CLS000147	B6Q2V1
B7FAS0	CLS000148	B7FAS0
B7UJD8	CLS000149	D5CVJ7
D5CVJ7	CLS000149	D5CVJ7
P77694	CLS000149	D5CVJ7
Q8FKL3	CLS000149	D5CVJ7
Q8X4N4	CLS000149	D5CVJ7
B7W112	CLS000150	B7W112
B7ZNG4	CLS000151	Q12815
Q12815	CLS000151	Q12815
B8MXP5	CLS000152	Q2US39
Q2US39	CLS000152	Q2US39
B8NI28	CLS000153	B8NI28
B9F1C0	CLS000154	B9F1C0
B9W923	CLS000155	B9W923
Q5AP87	CLS000155	B9W923
C0HK92	CLS000156	C0HK92
C0NWC4	CLS000157	C0NWC4
C6HBY6	CLS000157	C0NWC4
C0RWW9	CLS000158	Q53KW9
Q53KW9	CLS000158	Q53KW9
C0S4K1	CLS000159	C1H741
C1FZ15	CLS000159	C1H741
C1H741	CLS000159	C1H741
C4LWQ8	CLS000160	C4LY96
C4LY96	CLS000160	C4LY96
C4M1E4	CLS000160	C4LY96
C4P6S0	CLS000161	C4P6S0
C4R159	CLS000162	C4R159
Q5IF00	CLS000162	C4R159
C4R492	CLS000163	C4R492
C4R5P7	CLS000164	C4R5P7
C4XXL5	CLS000165	C4XXL5
C4Y6F4	CLS000166	C4Y6F4
B9WEX6	CLS000167	Q5ADV5
C4YPB0	CLS000167	Q5ADV5
Q5ADV5	CLS000167	Q5ADV5
C5DF10	CLS000168	C5DF10
C5DGU9	CLS000169	C5DGU9
C5DLJ3	CLS000170	C5DLJ3
C5DTI7	CLS000171	C5DTI7
C5DXS6	CLS000172	C5DXS6
C5DY82	CLS000173	Q6CLQ8
Q6CLQ8	CLS000173	Q6CLQ8
Q75B55	CLS000173	Q6CLQ8
Q8TFK7	CLS000173	Q6CLQ8
C5E4K0	CLS000174	C5E4K0
A7TES0	CLS000175	Q6FQE0
C5E4T8	CLS000175	Q6FQE0
Q6FQE0	CLS000175	Q6FQE0
C5E4V5	CLS000176	C5E4V5
C5GAC6	CLS000177	C5JJY8
C5JJY8	CLS000177	C5JJY8
A1CHU1	CLS000178	Q5BBM5
A1CWW9	CLS000178	Q5BBM5
A2QJH4	CLS000178	Q5BBM5
A4QT54	CLS000178	Q5BBM5
A6S9E2	CLS000178	Q5BBM5
A7EWF5	CLS000178	Q5BBM5
B0Y6I4	CLS000178	Q5BBM5
B2VS19	CLS000178	Q5BBM5
B6HQ08	CLS000178	Q5BBM5
B6HR25	CLS000178	Q5BBM5
B6QIB3	CLS000178	Q5BBM5
B8MKT9	CLS000178	Q5BBM5
B8N0Q7	CLS000178	Q5BBM5
C0NY51	CLS000178	Q5BBM5
C0S713	CLS000178	Q5BBM5
C1G520	CLS000178	Q5BBM5
C4JQ45	CLS000178	Q5BBM5
C5FRB0	CLS000178	Q5BBM5
C5GNU1	CLS000178	Q5BBM5
C5JVU4	CLS000178	Q5BBM5
Q0CZY7	CLS000178	Q5BBM5
Q1E4T3	CLS000178	Q5BBM5
Q2H9Y1	CLS000178	Q5BBM5
Q2UJF5	CLS000178	Q5BBM5
Q4WPP2	CLS000178	Q5BBM5
Q5BBM5	CLS000178	Q5BBM5
Q7RZK9	CLS000178	Q5BBM5
C5MBA7	CLS000179	C5MBA7
C5MHQ6	CLS000180	C5MHQ6
A5E0B1	CLS000181	A5E0B1
C5MHS7	CLS000181	A5E0B1
A6ZZR2	CLS000182	P35732
C7GP20	CLS000182	P35732
P35732	CLS000182	P35732
A6ZR64	CLS000183	P40068
B3LRM5	CLS000183	P40068
B5VHN4	CLS000183	P40068
C7GS77	CLS000183	P40068
C8Z7C7	CLS000183	P40068
P40068	CLS000183	P40068
C7IVR4	CLS000184	C7IVR4
C7NBY4	CLS000185	C7NBY4
C7YY76	CLS000186	C7YY76
C8KI33	CLS000187	C8KI33
C8V8H5	CLS000188	C8V8H5
B2RU40	CLS000189	B2RU40
C9JH25	CLS000189	B2RU40
D4A9R4	CLS000189	B2RU40
C9K7F3	CLS000190	C9K7F3
D0NRP3	CLS000191	D0NRP3
D0NRQ7	CLS000192	D0NRQ7
D1ZCP6	CLS000193	D1ZCP6
D2I4M3	CLS000194	D2I4M3
D3YV10	CLS000195	Q8IYE1
Q8IYE1	CLS000195	Q8IYE1
D4AQ27	CLS000196	D4AQ27
D4B1B1	CLS000197	D4B1B1
D4B478	CLS000198	D4D5X3
D4D5X3	CLS000198	D4D5X3
D7ALQ0	CLS000199	Q749K5
Q749K5	CLS000199	Q749K5
D7PI12	CLS000200	D7PI12
E1ZXU8	CLS000201	E1ZXU8
E3M3V1	CLS000202	G5EBV6
G5EBV6	CLS000202	G5EBV6
Q9TZQ3	CLS000202	G5EBV6
E4T0I2	CLS000203	E4T0I2
E5AV36	CLS000204	E5AV36
E5AW45	CLS000205	E5AW45
E7F5E1	CLS000206	E7F5E1
E7FAP1	CLS000207	E7FAP1
E9ES99	CLS000208	E9ES99
E9Q1U1	CLS000209	E9Q1U1
Q6TFL3	CLS000209	E9Q1U1
E9Q7F2	CLS000210	E9Q7F2
Q8NCN4	CLS000210	E9Q7F2
F0JAI6	CLS000211	F0JAI6
E9Q6E9	CLS000212	F1LWT0
F1LWT0	CLS000212	F1LWT0
F1NSM7	CLS000213	F1NSM7
F4HRT5	CLS000214	F4HRT5
F4I1T7	CLS000215	F4I1T7
F4I8B9	CLS000216	F4I8B9
F4JJP1	CLS000216	F4I8B9
F4ICX9	CLS000217	Q9LSB4
Q9LSB4	CLS000217	Q9LSB4
B4FZ81	CLS000218	Q0JIZ1
F4IHY7	CLS000218	Q0JIZ1
Q0JIZ1	CLS000218	Q0JIZ1
F4IN69	CLS000219	F4IN69
F4IP69	CLS000220	F4IP69
F4IUJ7	CLS000221	F4IUJ7
F4J077	CLS000222	Q94C98
Q94C98	CLS000222	Q94C98
F4J4C8	CLS000223	F4J4C8
F4J8D3	CLS000224	F4J8D3
F4JCX9	CLS000225	F4JCX9
F4JF21	CLS000226	F4JF21
F4JGZ1	CLS000227	F4JGZ1
F4JMH9	CLS000228	F4JMH9
F4JV59	CLS000229	F4JV59
F4JZY1	CLS000230	F4JZY1
F4J2K2	CLS000231	F4K2A1
F4K2A1	CLS000231	F4K2A1
F4KFS5	CLS000232	F4KFS5
F4KFS7	CLS000233	F4KFS7
F4KG50	CLS000234	F4KG50
G0S2X1	CLS000235	G0S2X1
G0S4F3	CLS000236	G0S4F3
G1UB67	CLS000237	G1UB67
G2NFJ9	CLS000238	G2NFJ9
G4N4W3	CLS000239	G4N4W3
G5E861	CLS000240	Q96NL6
