cluster_id	member
CLS000001	A0A060XQP6
CLS000002	A0A069CUU9
CLS000003	A0A084AFG9
CLS000004	A0A096LP49
CLS000005	A0A098DT87
CLS000006	A0A0C5URS1
CLS000007	A0A0D1CRD0
CLS000008	A0A0D1DZV5
CLS000008	M9MH90
CLS000009	A0A0D4BSN8
CLS000010	A0A0H2URD6
CLS000011	A0A0H2XFP1
CLS000011	P0C049
CLS000011	Q2G188
CLS000011	Q5HJ90
CLS000011	Q6GCI9
CLS000011	Q6GK28
CLS000011	Q7A7S3
CLS000011	Q8NYF5
CLS000011	Q99WU3
CLS000012	A0A0H5SJ89
CLS000013	A0A0M4LAF6
CLS000014	A0A0N6WJC7
CLS000015	A0A120KVR5
CLS000016	A0A120KVR8
CLS000017	A0A120KVW2
CLS000018	A0A142C7A3
CLS000019	A0A166B1A6
CLS000020	A0A179H0U5
CLS000021	A0A1B0GTH6
CLS000022	A0A1B0GUW6
CLS000023	A0A1C3NSL9
CLS000024	A0A1U8QHE3
CLS000025	A0A1Z2R986
CLS000026	A0A2I0BUK1
CLS000027	A0A2K3D5Z7
CLS000028	A0A2K3DDJ2
CLS000029	A0A2L0VXR0
CLS000030	A0A2Z5TJB0
CLS000031	A0A2Z5U1Z1
CLS000032	A0A348AXX6
CLS000033	A0A447CCJ8
CLS000033	A0A516F183
CLS000034	A0A509AKI1
CLS000035	A0A516F180
CLS000035	B2AFA8
CLS000036	A0A6C7EEG6
CLS000037	A0JNH1
CLS000037	Q2M2Z5
CLS000037	Q3UXL4
CLS000038	A0JP43
CLS000038	A4FU69
CLS000039	A0MZ66
CLS000039	A0MZ67
CLS000039	Q8K2Q9
CLS000040	A0PGB2
CLS000041	A0QWZ7
CLS000041	O53150
CLS000042	A1A5D9
CLS000043	A1C7B5
CLS000044	A1CAI0
CLS000044	A1DEV5
CLS000044	B0Y429
CLS000044	B8NTP7
CLS000044	Q0CI96
CLS000044	Q2U492
CLS000044	Q4WUK5
CLS000044	Q5B430
CLS000045	A1CLY6
CLS000046	A1CIK0
CLS000046	A1CW63
CLS000046	A2Q9L8
CLS000046	B0Y4N5
CLS000046	Q0CT23
CLS000046	Q2UUI0
CLS000046	Q4WQG9
CLS000046	Q876Q0
CLS000047	A1DIN7
CLS000048	A1EGX6
CLS000049	A1L2H3
CLS000050	A1Z7Z9
CLS000051	A1ZBW7
CLS000052	A2AEY4
CLS000053	A2AJA9
CLS000053	C9J069
CLS000054	A2AKY4
CLS000054	Q7Z570
CLS000055	A2QBQ3
CLS000055	B8N7S7
CLS000055	Q2UIE6
CLS000055	Q5BAP5
CLS000056	A2QN74
CLS000057	A2RTY3
CLS000057	Q4R744
CLS000058	A2VD12
CLS000058	Q3TVI8
CLS000059	A2VD23
CLS000060	A2VE23
CLS000061	A3CEM4
CLS000062	A3GEW8
CLS000063	A3LNK7
CLS000064	A4D1E1
CLS000065	A4FV57
CLS000065	Q6ZN18
CLS000066	A4IFI1
CLS000066	Q569K6
CLS000066	Q5SPX1
CLS000067	A4RGE6
CLS000067	Q0UJC3
CLS000068	A4YHQ8
CLS000069	A5D8S0
CLS000070	A5D8V7
CLS000070	A7MBH5
CLS000071	A3LQ52
CLS000071	A5DDF2
CLS000071	Q6BML3
CLS000072	A5DDR3
CLS000073	A5DG41
CLS000073	Q6BMT2
CLS000074	A5DJ60
CLS000075	A3LPR4
CLS000075	A5DSU5
CLS000075	Q5AQ62
CLS000075	Q6BWJ5
CLS000076	A5DU71
CLS000077	A3GFQ7
CLS000077	A5DUL5
CLS000077	B9W824
CLS000077	C4YE34
CLS000077	Q59MC8
CLS000078	A5DXC3
CLS000079	A5E057
CLS000080	A5E771
CLS000081	A6H5Y1
CLS000081	Q99550
CLS000082	A6QLY7
CLS000082	Q96AQ6
CLS000083	A6REV3
CLS000084	A6RHW0
CLS000084	A7EHE5
CLS000085	A6S9V4
CLS000085	A7EDF3
CLS000086	A6SEV8
CLS000086	A7F9L8
CLS000087	A6X3G3
CLS000088	A6ZSM1
CLS000088	B3LS90
CLS000088	B5VJQ0
CLS000088	C5DZX2
CLS000088	C7GIQ7
CLS000088	C8ZA35
CLS000088	P38738
CLS000088	Q6FV93
CLS000089	A6ZTW2
CLS000089	B3LHS1
CLS000089	C7GNX5
CLS000089	C8Z826
CLS000089	P53075
CLS000090	A6ZVD0
CLS000090	B3LTZ3
CLS000090	B5VKG3
CLS000090	C7GUR3
CLS000090	C8ZAW6
CLS000090	P40458
CLS000091	A6ZW95
CLS000091	B3LKR9
CLS000091	B5VT12
CLS000091	C7GJB0
CLS000091	C8ZIM0
CLS000091	Q99299
CLS000092	A6ZXT5
CLS000092	Q12459
CLS000093	A6ZYV0
CLS000093	B5VGN1
CLS000093	C8Z5R1
CLS000093	P50273
CLS000094	A6ZZ54
CLS000094	B3LFK1
CLS000094	B5VGZ3
CLS000094	Q00947
CLS000095	A6ZZX0
CLS000095	B3LR89
CLS000095	B5VMF4
CLS000095	Q02203
CLS000096	A7A1R7
CLS000096	B3RHQ7
CLS000096	B5VNS9
CLS000096	C7GXJ6
CLS000096	C8ZE01
CLS000096	P18634
CLS000097	A7F9K1
CLS000098	A7MBM2
CLS000098	Q6R5J1
CLS000098	Q6R5J2
CLS000099	A7THU3
CLS000100	A7TKN1
CLS000101	A7TM88
CLS000102	A7TPF8
CLS000103	A7TQC5
CLS000104	A7TQS2
CLS000105	A7TR87
CLS000106	A6ZR36
CLS000106	A7TRX9
CLS000106	B3LRJ8
CLS000106	C5DBS6
CLS000106	C7GRR3
CLS000106	C8Z792
CLS000106	P40053
CLS000106	Q6CU52
CLS000106	Q6FPJ5
CLS000107	A7TRZ7
CLS000108	A8IQT2
CLS000109	A8IRK7
CLS000110	A8ITB0
CLS000111	A8ITV9
CLS000112	A8IUG5
CLS000113	A8JID5
CLS000114	A8K8P3
CLS000114	A9CB34
CLS000114	B0KWR6
CLS000114	Q3UZY0
CLS000115	A8MQN2
CLS000116	A8MQR0
CLS000117	A8NYS9
CLS000118	A8WL28
CLS000119	A8X633
CLS000119	Q21227
CLS000120	A8XBZ8
CLS000120	Q18825
CLS000121	A7TUE1
CLS000121	A9XMT3
CLS000121	A9XMT4
CLS000122	A9ZLL8
CLS000123	A9ZSY0
CLS000124	A8N5E6
CLS000124	B0D0P0
CLS000125	B0R9X9
CLS000125	O07116
CLS000125	Q9HHM7
CLS000126	B0WH58
CLS000126	Q16YE7
CLS000127	B1B0V2
CLS000128	B1GT61
CLS000129	B0BM16
CLS000129	B1H1S4
CLS000130	B2AA87
CLS000131	B2DBF0
CLS000132	B2DBF1
CLS000133	B2RUR4
CLS000133	Q7TQM5
CLS000134	B3A0P1
CLS000135	B3A0R6
CLS000136	A5GFT6
CLS000136	B3DJM5
CLS000136	Q2HNT1
CLS000136	Q2HNT2
CLS000136	Q5DTH5
CLS000136	Q68FE9
CLS000136	Q6ZSZ6
CLS000136	Q9NRE2
CLS000137	B3FWS0
CLS000138	B3H4K7
CLS000139	B3KS81
CLS000140	B4IH30
CLS000140	B4QC10
CLS000140	Q9W157
CLS000141	B3NY01
CLS000141	B3NY06
CLS000141	B3NY08
CLS000141	B4IL68
CLS000141	B4NU50
CLS000141	B4Q0P1
CLS000141	B4Q0P5
CLS000141	B4R694
CLS000141	Q9W3L5
CLS000141	Q9W3M2
CLS000142	B3NP26
CLS000142	B4HMH2
CLS000142	B4P8I0
CLS000142	B4QIJ9
CLS000142	Q7K4M4
CLS000143	B6JUP5
CLS000144	B6KJ32
CLS000145	B6KLP1
CLS000146	B6KV60
CLS000147	B6Q2V1
CLS000147	B8MPW2
CLS000148	B7FAS0
CLS000149	B7UJD8
CLS000149	D5CVJ7
CLS000149	P77694
CLS000149	Q8FKL3
CLS000149	Q8X4N4
CLS000150	B7W112
CLS000151	B7ZNG4
CLS000151	Q12815
CLS000152	B8MXP5
CLS000152	Q2US39
CLS000153	B8NI28
CLS000154	B9F1C0
CLS000155	B9W923
CLS000155	Q5AP87
CLS000156	C0HK92
CLS000157	C0NWC4
CLS000157	C6HBY6
CLS000158	C0RWW9
CLS000158	Q53KW9
CLS000159	C0S4K1
CLS000159	C1FZ15
CLS000159	C1H741
CLS000160	C4LWQ8
CLS000160	C4LY96
CLS000160	C4M1E4
CLS000161	C4P6S0
CLS000162	C4R159
CLS000162	Q5IF00
CLS000163	C4R492
CLS000164	C4R5P7
CLS000165	C4XXL5
CLS000166	C4Y6F4
CLS000167	B9WEX6
CLS000167	C4YPB0
CLS000167	Q5ADV5
CLS000168	C5DF10
CLS000169	C5DGU9
CLS000170	C5DLJ3
CLS000171	C5DTI7
CLS000172	C5DXS6
CLS000173	C5DY82
CLS000173	Q6CLQ8
CLS000173	Q75B55
CLS000173	Q8TFK7
CLS000174	C5E4K0
CLS000175	A7TES0
CLS000175	C5E4T8
CLS000175	Q6FQE0
CLS000176	C5E4V5
CLS000177	C5GAC6
CLS000177	C5JJY8
CLS000178	A1CHU1
CLS000178	A1CWW9
CLS000178	A2QJH4
CLS000178	A4QT54
CLS000178	A6S9E2
CLS000178	A7EWF5
CLS000178	B0Y6I4
CLS000178	B2VS19
CLS000178	B6HQ08
CLS000178	B6HR25
CLS000178	B6QIB3
CLS000178	B8MKT9
CLS000178	B8N0Q7
CLS000178	C0NY51
CLS000178	C0S713
CLS000178	C1G520
CLS000178	C4JQ45
CLS000178	C5FRB0
CLS000178	C5GNU1
CLS000178	C5JVU4
CLS000178	Q0CZY7
CLS000178	Q1E4T3
CLS000178	Q2H9Y1
CLS000178	Q2UJF5
CLS000178	Q4WPP2
CLS000178	Q5BBM5
CLS000178	Q7RZK9
CLS000179	C5MBA7
CLS000180	C5MHQ6
CLS000181	A5E0B1
CLS000181	C5MHS7
CLS000182	A6ZZR2
CLS000182	C7GP20
CLS000182	P35732
CLS000183	A6ZR64
CLS000183	B3LRM5
CLS000183	B5VHN4
CLS000183	C7GS77
CLS000183	C8Z7C7
CLS000183	P40068
CLS000184	C7IVR4
CLS000185	C7NBY4
CLS000186	C7YY76
CLS000187	C8KI33
CLS000188	C8V8H5
CLS000189	B2RU40
CLS000189	C9JH25
CLS000189	D4A9R4
CLS000190	C9K7F3
CLS000191	D0NRP3
CLS000192	D0NRQ7
CLS000193	D1ZCP6
CLS000194	D2I4M3
CLS000195	D3YV10
CLS000195	Q8IYE1
CLS000196	D4AQ27
CLS000197	D4B1B1
CLS000198	D4B478
CLS000198	D4D5X3
CLS000199	D7ALQ0
CLS000199	Q749K5
CLS000200	D7PI12
CLS000201	E1ZXU8
CLS000202	E3M3V1
CLS000202	G5EBV6
CLS000202	Q9TZQ3
CLS000203	E4T0I2
CLS000204	E5AV36
CLS000205	E5AW45
CLS000206	E7F5E1
CLS000207	E7FAP1
CLS000208	E9ES99
CLS000209	E9Q1U1
CLS000209	Q6TFL3
CLS000210	E9Q7F2
CLS000210	Q8NCN4
CLS000211	F0JAI6
CLS000212	E9Q6E9
CLS000212	F1LWT0
CLS000213	F1NSM7
CLS000214	F4HRT5
CLS000215	F4I1T7
CLS000216	F4I8B9
CLS000216	F4JJP1
CLS000217	F4ICX9
CLS000217	Q9LSB4
CLS000218	B4FZ81
CLS000218	F4IHY7
CLS000218	Q0JIZ1
CLS000219	F4IN69
CLS000220	F4IP69
CLS000221	F4IUJ7
CLS000222	F4J077
CLS000222	Q94C98
CLS000223	F4J4C8
CLS000224	F4J8D3
CLS000225	F4JCX9
CLS000226	F4JF21
CLS000227	F4JGZ1
CLS000228	F4JMH9
CLS000229	F4JV59
CLS000230	F4JZY1
CLS000231	F4J2K2
CLS000231	F4K2A1
CLS000232	F4KFS5
CLS000233	F4KFS7
CLS000234	F4KG50
CLS000235	G0S2X1
CLS000236	G0S4F3
CLS000237	G1UB67
CLS000238	G2NFJ9
CLS000239	G4N4W3
CLS000240	G5E861
CLS000240	Q8CJ99
CLS000240	Q96NL6
CLS000241	G5ECH5
CLS000242	G5ECL4
CLS000243	G5ED89
CLS000244	G5EEK3
CLS000245	G5EFV3
CLS000246	G5EGE9
CLS000247	G9M8X1
CLS000248	H0WFA5
CLS000249	A8MZA4
CLS000249	H0YM25
CLS000249	Q8N7Z2
CLS000249	Q8N9W4
CLS000250	H2A0M0
CLS000251	H2KZ49
CLS000252	I0J0E7
CLS000253	I1RAK8
CLS000254	I1S0E2
CLS000255	I3L273
CLS000256	I6V1W0
CLS000257	J5JPY5
CLS000258	K0DZ91
CLS000259	L7IKV1
CLS000260	L8FLZ2
CLS000261	A0QNH4
CLS000261	L8FM21
CLS000262	A0A0D1CRC9
CLS000262	M9LRQ6
CLS000263	M9LYJ5
CLS000264	M9MF51
CLS000265	M9NE38
CLS000266	O00461
CLS000266	Q08D19
CLS000266	Q5BJK8
CLS000266	Q8BXA1
CLS000267	O00515
CLS000267	P57016
CLS000268	O00841
CLS000269	O00844
CLS000270	O01477
CLS000271	O02039
CLS000272	O02042
CLS000272	Q614K9
CLS000273	O05318
CLS000274	O05975
CLS000275	O07625
CLS000276	O13284
CLS000277	O13329
CLS000278	O13492
CLS000279	O13658
CLS000280	O13695
CLS000281	O13854
CLS000282	O13858
CLS000283	O14173
CLS000284	O14217
CLS000285	O14269
CLS000286	O14273
CLS000287	O15014
CLS000287	Q8BZ47
CLS000288	O15231
CLS000289	O15287
CLS000289	Q9EQR6
CLS000290	O17581
CLS000291	O17582
CLS000292	O17828
CLS000293	O18191
CLS000294	O20159
CLS000295	O22799
CLS000296	O23144
CLS000297	O23277
CLS000298	O27893
CLS000299	O27944
CLS000300	O28078
CLS000301	O28161
CLS000302	O28251
CLS000303	O28422
CLS000304	O28648
CLS000305	O29350
CLS000306	O31745
CLS000307	O31945
CLS000308	O32101
CLS000309	B2RH58
CLS000309	O32389
CLS000310	B2RH59
CLS000310	O32390
CLS000311	O35181
CLS000311	P56975
CLS000312	O42637
CLS000313	O42910
CLS000314	O42948
CLS000315	O43013
CLS000316	O43952
CLS000317	O44749
CLS000318	O53113
CLS000319	O53508
CLS000320	O53582
CLS000321	O54003
CLS000322	O59740
CLS000323	O59779
CLS000324	O60099
CLS000325	O60174
CLS000326	O64584
CLS000327	O64851
CLS000328	O67301
CLS000329	O67428
CLS000330	O70394
CLS000331	O74338
CLS000332	O74434
CLS000333	O74481
CLS000334	O74500
CLS000335	O74535
CLS000336	O74738
CLS000337	O74775
CLS000338	O74779
CLS000339	O74808
CLS000340	O74949
CLS000341	O74994
CLS000342	B0DOB4
CLS000342	O75161
CLS000342	P59240
CLS000343	O76187
CLS000344	O77374
CLS000345	O80386
CLS000346	O81959
CLS000346	Q8LLW7
CLS000347	O82804
CLS000348	O83062
CLS000349	O83066
CLS000350	O83160
CLS000351	O83209
CLS000352	O83273
CLS000353	O83326
CLS000354	O83389
CLS000355	O83444
CLS000356	O83500
CLS000357	O83575
CLS000358	O83586
CLS000359	O83602
CLS000360	O83607
CLS000361	O83771
CLS000362	O83827
CLS000363	O83932
CLS000364	O83933
CLS000365	O83934
CLS000366	O83935
CLS000367	O83978
CLS000368	O84883
CLS000369	O86682
CLS000370	O86683
CLS000371	O94254
CLS000372	O94317
CLS000373	O94358
CLS000374	O94368
CLS000375	O94378
CLS000376	O94441
CLS000377	O94452
CLS000378	O94602
CLS000379	O94717
CLS000380	O94719
CLS000381	O94854
CLS000382	O96133
CLS000383	O96160
CLS000384	O96185
CLS000385	O96668
CLS000386	O97237
CLS000387	O97302
CLS000388	P04931
CLS000389	P05469
CLS000390	P06529
CLS000391	P06779
CLS000392	P07252
CLS000393	P07856
CLS000394	P07916
CLS000395	P08098
CLS000396	P08399
CLS000397	P08468
CLS000398	P08796
CLS000399	P08798
CLS000400	P09333
CLS000401	P0A5D8
CLS000401	P9WKN0
CLS000401	P9WKN1
CLS000402	P0C8L8
CLS000403	P0C945
CLS000404	P0CB21
CLS000405	P0CB23
CLS000406	P0CD64
CLS000407	P0CG12
CLS000408	B2RYL1
CLS000408	P0CG10
CLS000408	P0CG14
CLS000409	P0CQ04
CLS000409	P0CQ05
CLS000410	P0CS56
CLS000410	P0CS57
CLS000411	P0CT47
CLS000412	P0CV01
CLS000413	P0CV36
CLS000414	P0CV42
CLS000414	P0CV43
CLS000415	P0CV45
CLS000416	P0CV57
CLS000417	P0CV58
CLS000418	P0CY38
CLS000419	P0DJ28
CLS000419	P0DJ29
CLS000420	P0DKC0
CLS000420	P0DKC1
CLS000421	P0DKL2
CLS000422	P0DOC6
CLS000423	P0DPB7
CLS000424	P0DPB8
CLS000425	P0DPS1
CLS000426	P11437
CLS000427	P11929
CLS000428	P12304
CLS000429	P13463
CLS000430	P13816
CLS000431	P13983
CLS000432	P13989
CLS000433	P14198
CLS000434	P14380
CLS000435	P14932
CLS000436	P15305
CLS000437	P15345
CLS000438	P15362
CLS000439	P15391
CLS000439	Q3LRP3
CLS000440	P15489
CLS000441	P15502
CLS000442	P15711
CLS000443	P16128
CLS000444	P16320
CLS000445	P17813
CLS000446	P11872
CLS000446	P18154
CLS000447	P18593
CLS000448	P19467
CLS000449	P19471
CLS000450	P20048
CLS000451	O15240
CLS000451	P20156
CLS000451	Q0VGU4
CLS000452	P20398
CLS000453	P20676
CLS000454	P20736
CLS000455	P20910
CLS000456	P21134
CLS000457	P21268
CLS000458	P22293
CLS000459	P22751
CLS000460	P22795
CLS000461	P23182
CLS000462	P23226
CLS000463	P23351
CLS000464	P23643
CLS000465	P22620
CLS000465	P23745
CLS000465	Q8I5D2
CLS000466	P23792
CLS000467	P24349
CLS000468	P24856
CLS000469	P25028
CLS000470	P25203
CLS000471	P25579
CLS000472	P25918
CLS000473	P27766
CLS000474	P31111
CLS000475	P31569
CLS000476	P31877
CLS000477	P31916
CLS000478	P23502
CLS000478	P32022
CLS000479	P32323
CLS000480	P32334
CLS000481	P32389
CLS000482	P32432
CLS000483	P32448
CLS000484	P32522
CLS000485	P32618
CLS000486	P32767
CLS000487	P32828
CLS000488	P32985
CLS000489	P33304
CLS000490	P33306
CLS000491	P34090
CLS000492	P34116
